;;;;;;;;;;;;;x
return_cores_CAT_desc;We hold provinces that Catalonia has claims on. Returning these provinces, as an act of good faith, would surely bolster our relations.;;;;;;;;;;;;x
return_cores_FLA_title;Return cores to Flanders ;;;;;;;;;;;;x,,
return_cores_FLA_desc;We hold provinces that Flanders has claims on. Returning these provinces, as an act of good faith, would surely bolster our relations.;;;;;;;;;;;;x
return_cores_IRE_title;Return cores to Ireland ;;;;;;;;;;;;x,,
return_cores_IRE_desc;We hold provinces that Ireland has claims on. Returning these provinces, as an act of good faith, would surely bolster our relations.;;;;;;;;;;;;x
return_cores_NET_title;Return cores to Netherlands ;;;;;;;;;;;;x,,
return_cores_NET_desc;We hold provinces that Netherlands has claims on. Returning these provinces, as an act of good faith, would surely bolster our relations.;;;;;;;;;;;;x
return_cores_POR_title;Return cores to Portugal ;;;;;;;;;;;;x,,
return_cores_POR_desc;We hold provinces that Portugal has claims on. Returning these provinces, as an act of good faith, would surely bolster our relations.;;;;;;;;;;;;x
return_cores_SCO_title;Return cores to Scotland ;;;;;;;;;;;;x,,
return_cores_SCO_desc;We hold provinces that Scotland has claims on. Returning these provinces, as an act of good faith, would surely bolster our relations.;;;;;;;;;;;;x
return_cores_SPA_title;Return cores to Spain ;;;;;;;;;;;;x,,
return_cores_SPA_desc;We hold provinces that Spain has claims on. Returning these provinces, as an act of good faith, would surely bolster our relations.;;;;;;;;;;;;x
return_cores_WLL_title;Return cores to Wallonia ;;;;;;;;;;;;x,,
return_cores_WLL_desc;We hold provinces that Wallonia has claims on. Returning these provinces, as an act of good faith, would surely bolster our relations.;;;;;;;;;;;;x
return_cores_ANH_title;Return cores to Anhalt ;;;;;;;;;;;;x,,
return_cores_ANH_desc;We hold provinces that Anhalt has claims on. Returning these provinces, as an act of good faith, would surely bolster our relations.;;;;;;;;;;;;x
return_cores_BAD_title;Return cores to Baden ;;;;;;;;;;;;x,,
return_cores_BAD_desc;We hold provinces that Baden has claims on. Returning these provinces, as an act of good faith, would surely bolster our relations.;;;;;;;;;;;;x
return_cores_BAV_title;Return cores to Bavaria ;;;;;;;;;;;;x,,
return_cores_BAV_desc;We hold provinces that Bavaria has claims on. Returning these provinces, as an act of good faith, would surely bolster our relations.;;;;;;;;;;;;x
return_cores_BRA_title;Return cores to Braunschweig ;;;;;;;;;;;;x,,
return_cores_BRA_desc;We hold provinces that Braunschweig has claims on. Returning these provinces, as an act of good faith, would surely bolster our relations.;;;;;;;;;;;;x
return_cores_BRE_title;Return cores to Bremen ;;;;;;;;;;;;x,,
return_cores_BRE_desc;We hold provinces that Bremen has claims on. Returning these provinces, as an act of good faith, would surely bolster our relations.;;;;;;;;;;;;x
return_cores_COB_title;Return cores to Saxe-Coburg-Gotha ;;;;;;;;;;;;x,,
return_cores_COB_desc;We hold provinces that Saxe-Coburg-Gotha has claims on. Returning these provinces, as an act of good faith, would surely bolster our relations.;;;;;;;;;;;;x
return_cores_DZG_title;Return cores to Danzig ;;;;;;;;;;;;x,,
return_cores_DZG_desc;We hold provinces that Danzig has claims on. Returning these provinces, as an act of good faith, would surely bolster our relations.;;;;;;;;;;;;x
return_cores_FRM_title;Return cores to Frankfurt am Main ;;;;;;;;;;;;x,,
return_cores_FRM_desc;We hold provinces that Frankfurt am Main has claims on. Returning these provinces, as an act of good faith, would surely bolster our relations.;;;;;;;;;;;;x
return_cores_HAM_title;Return cores to Hamburg ;;;;;;;;;;;;x,,
return_cores_HAM_desc;We hold provinces that Hamburg has claims on. Returning these provinces, as an act of good faith, would surely bolster our relations.;;;;;;;;;;;;x
return_cores_HAN_title;Return cores to Hanover ;;;;;;;;;;;;x,,
return_cores_HAN_desc;We hold provinces that Hanover has claims on. Returning these provinces, as an act of good faith, would surely bolster our relations.;;;;;;;;;;;;x
return_cores_HES_title;Return cores to Hesse-Darmstadt ;;;;;;;;;;;;x,,
return_cores_HES_desc;We hold provinces that Hesse-Darmstadt has claims on. Returning these provinces, as an act of good faith, would surely bolster our relations.;;;;;;;;;;;;x
return_cores_HEK_title;Return cores to Hesse-Kassel ;;;;;;;;;;;;x,,
return_cores_HEK_desc;We hold provinces that Hesse-Kassel has claims on. Returning these provinces, as an act of good faith, would surely bolster our relations.;;;;;;;;;;;;x
return_cores_HOL_title;Return cores to Holstein ;;;;;;;;;;;;x,,
return_cores_HOL_desc;We hold provinces that Holstein has claims on. Returning these provinces, as an act of good faith, would surely bolster our relations.;;;;;;;;;;;;x
return_cores_LIP_title;Return cores to Lippe-Detmold ;;;;;;;;;;;;x,,
return_cores_LIP_desc;We hold provinces that Lippe-Detmold has claims on. Returning these provinces, as an act of good faith, would surely bolster our relations.;;;;;;;;;;;;x
return_cores_LUB_title;Return cores to Lubeck ;;;;;;;;;;;;x,,
return_cores_LUB_desc;We hold provinces that Lubeck has claims on. Returning these provinces, as an act of good faith, would surely bolster our relations.;;;;;;;;;;;;x
return_cores_LUX_title;Return cores to Luxemburg ;;;;;;;;;;;;x,,
return_cores_LUX_desc;We hold provinces that Luxemburg has claims on. Returning these provinces, as an act of good faith, would surely bolster our relations.;;;;;;;;;;;;x
return_cores_MEC_title;Return cores to Mecklenburg ;;;;;;;;;;;;x,,
return_cores_MEC_desc;We hold provinces that Mecklenburg has claims on. Returning these provinces, as an act of good faith, would surely bolster our relations.;;;;;;;;;;;;x
return_cores_MEI_title;Return cores to Saxe-Meiningen ;;;;;;;;;;;;x,,
return_cores_MEI_desc;We hold provinces that Saxe-Meiningen has claims on. Returning these provinces, as an act of good faith, would surely bolster our relations.;;;;;;;;;;;;x
return_cores_NAS_title;Return cores to Nassau ;;;;;;;;;;;;x,,
return_cores_NAS_desc;We hold provinces that Nassau has claims on. Returning these provinces, as an act of good faith, would surely bolster our relations.;;;;;;;;;;;;x
return_cores_NGF_title;Return cores to North German Fed ;;;;;;;;;;;;x,,
return_cores_NGF_desc;We hold provinces that North German Fed has claims on. Returning these provinces, as an act of good faith, would surely bolster our relations.;;;;;;;;;;;;x
return_cores_OLD_title;Return cores to Oldenburg ;;;;;;;;;;;;x,,
return_cores_OLD_desc;We hold provinces that Oldenburg has claims on. Returning these provinces, as an act of good faith, would surely bolster our relations.;;;;;;;;;;;;x
return_cores_SAX_title;Return cores to Saxony ;;;;;;;;;;;;x,,
return_cores_SAX_desc;We hold provinces that Saxony has claims on. Returning these provinces, as an act of good faith, would surely bolster our relations.;;;;;;;;;;;;x
return_cores_SCH_title;Return cores to Schleswig ;;;;;;;;;;;;x,,
return_cores_SCH_desc;We hold provinces that Schleswig has claims on. Returning these provinces, as an act of good faith, would surely bolster our relations.;;;;;;;;;;;;x
return_cores_SGF_title;Return cores to South German Fed ;;;;;;;;;;;;x,,
return_cores_SGF_desc;We hold provinces that South German Fed has claims on. Returning these provinces, as an act of good faith, would surely bolster our relations.;;;;;;;;;;;;x
return_cores_WEI_title;Return cores to Saxe-Weimar ;;;;;;;;;;;;x,,
return_cores_WEI_desc;We hold provinces that Saxe-Weimar has claims on. Returning these provinces, as an act of good faith, would surely bolster our relations.;;;;;;;;;;;;x
return_cores_WUR_title;Return cores to Wurttemberg ;;;;;;;;;;;;x,,
return_cores_WUR_desc;We hold provinces that Wurttemberg has claims on. Returning these provinces, as an act of good faith, would surely bolster our relations.;;;;;;;;;;;;x
return_cores_LOM_title;Return cores to Lombardia ;;;;;;;;;;;;x,,
return_cores_LOM_desc;We hold provinces that Lombardia has claims on. Returning these provinces, as an act of good faith, would surely bolster our relations.;;;;;;;;;;;;x
return_cores_LUC_title;Return cores to Lucca ;;;;;;;;;;;;x,,
return_cores_LUC_desc;We hold provinces that Lucca has claims on. Returning these provinces, as an act of good faith, would surely bolster our relations.;;;;;;;;;;;;x
return_cores_MOD_title;Return cores to Modena ;;;;;;;;;;;;x,,
return_cores_MOD_desc;We hold provinces that Modena has claims on. Returning these provinces, as an act of good faith, would surely bolster our relations.;;;;;;;;;;;;x
return_cores_PAP_title;Return cores to Papal States ;;;;;;;;;;;;x,,
return_cores_PAP_desc;We hold provinces that Papal States has claims on. Returning these provinces, as an act of good faith, would surely bolster our relations.;;;;;;;;;;;;x
return_cores_PAR_title;Return cores to Parma ;;;;;;;;;;;;x,,
return_cores_PAR_desc;We hold provinces that Parma has claims on. Returning these provinces, as an act of good faith, would surely bolster our relations.;;;;;;;;;;;;x
return_cores_SAR_title;Return cores to Sardinia-Piedmont ;;;;;;;;;;;;x,,
return_cores_SAR_desc;We hold provinces that Sardinia-Piedmont has claims on. Returning these provinces, as an act of good faith, would surely bolster our relations.;;;;;;;;;;;;x
return_cores_SIC_title;Return cores to Two Sicilies ;;;;;;;;;;;;x,,
return_cores_SIC_desc;We hold provinces that Two Sicilies has claims on. Returning these provinces, as an act of good faith, would surely bolster our relations.;;;;;;;;;;;;x
return_cores_TRE_title;Return cores to Trieste ;;;;;;;;;;;;x,,
return_cores_TRE_desc;We hold provinces that Trieste has claims on. Returning these provinces, as an act of good faith, would surely bolster our relations.;;;;;;;;;;;;x
return_cores_TUS_title;Return cores to Tuscany ;;;;;;;;;;;;x,,
return_cores_TUS_desc;We hold provinces that Tuscany has claims on. Returning these provinces, as an act of good faith, would surely bolster our relations.;;;;;;;;;;;;x
return_cores_VEN_title;Return cores to Venice ;;;;;;;;;;;;x,,
return_cores_VEN_desc;We hold provinces that Venice has claims on. Returning these provinces, as an act of good faith, would surely bolster our relations.;;;;;;;;;;;;x
return_cores_BOH_title;Return cores to Bohemia-Moravia ;;;;;;;;;;;;x,,
return_cores_BOH_desc;We hold provinces that Bohemia-Moravia has claims on. Returning these provinces, as an act of good faith, would surely bolster our relations.;;;;;;;;;;;;x
return_cores_KRA_title;Return cores to Krakow ;;;;;;;;;;;;x,,
return_cores_KRA_desc;We hold provinces that Krakow has claims on. Returning these provinces, as an act of good faith, would surely bolster our relations.;;;;;;;;;;;;x
return_cores_CRI_title;Return cores to Crimea ;;;;;;;;;;;;x,,
return_cores_CRI_desc;We hold provinces that Crimea has claims on. Returning these provinces, as an act of good faith, would surely bolster our relations.;;;;;;;;;;;;x
return_cores_EST_title;Return cores to Estonia ;;;;;;;;;;;;x,,
return_cores_EST_desc;We hold provinces that Estonia has claims on. Returning these provinces, as an act of good faith, would surely bolster our relations.;;;;;;;;;;;;x
return_cores_HUN_title;Return cores to Hungary ;;;;;;;;;;;;x,,
return_cores_HUN_desc;We hold provinces that Hungary has claims on. Returning these provinces, as an act of good faith, would surely bolster our relations.;;;;;;;;;;;;x
return_cores_LIT_title;Return cores to Lithuania ;;;;;;;;;;;;x,,
return_cores_LIT_desc;We hold provinces that Lithuania has claims on. Returning these provinces, as an act of good faith, would surely bolster our relations.;;;;;;;;;;;;x
return_cores_LAT_title;Return cores to Latvia ;;;;;;;;;;;;x,,
return_cores_LAT_desc;We hold provinces that Latvia has claims on. Returning these provinces, as an act of good faith, would surely bolster our relations.;;;;;;;;;;;;x
return_cores_POL_title;Return cores to Poland ;;;;;;;;;;;;x,,
return_cores_POL_desc;We hold provinces that Poland has claims on. Returning these provinces, as an act of good faith, would surely bolster our relations.;;;;;;;;;;;;x
return_cores_SLV_title;Return cores to Slovakia ;;;;;;;;;;;;x,,
return_cores_SLV_desc;We hold provinces that Slovakia has claims on. Returning these provinces, as an act of good faith, would surely bolster our relations.;;;;;;;;;;;;x
return_cores_SWI_title;Return cores to Switzerland ;;;;;;;;;;;;x,,
return_cores_SWI_desc;We hold provinces that Switzerland has claims on. Returning these provinces, as an act of good faith, would surely bolster our relations.;;;;;;;;;;;;x
return_cores_RUT_title;Return cores to Ruthenia ;;;;;;;;;;;;x,,
return_cores_RUT_desc;We hold provinces that Ruthenia has claims on. Returning these provinces, as an act of good faith, would surely bolster our relations.;;;;;;;;;;;;x
return_cores_SIE_title;Return cores to Siebenburgen ;;;;;;;;;;;;x,,
return_cores_SIE_desc;We hold provinces that Siebenburgen has claims on. Returning these provinces, as an act of good faith, would surely bolster our relations.;;;;;;;;;;;;x
return_cores_UKR_title;Return cores to Ukraine ;;;;;;;;;;;;x,,
return_cores_UKR_desc;We hold provinces that Ukraine has claims on. Returning these provinces, as an act of good faith, would surely bolster our relations.;;;;;;;;;;;;x
return_cores_CZH_title;Return cores to Czechoslovakia ;;;;;;;;;;;;x,,
return_cores_CZH_desc;We hold provinces that Czechoslovakia has claims on. Returning these provinces, as an act of good faith, would surely bolster our relations.;;;;;;;;;;;;x
return_cores_ALB_title;Return cores to Albania ;;;;;;;;;;;;x,,
return_cores_ALB_desc;We hold provinces that Albania has claims on. Returning these provinces, as an act of good faith, would surely bolster our relations.;;;;;;;;;;;;x
return_cores_BOS_title;Return cores to Bosnia-Herzegovina ;;;;;;;;;;;;x,,
return_cores_BOS_desc;We hold provinces that Bosnia-Herzegovina has claims on. Returning these provinces, as an act of good faith, would surely bolster our relations.;;;;;;;;;;;;x
return_cores_BUL_title;Return cores to Bulgaria ;;;;;;;;;;;;x,,
return_cores_BUL_desc;We hold provinces that Bulgaria has claims on. Returning these provinces, as an act of good faith, would surely bolster our relations.;;;;;;;;;;;;x
return_cores_CRE_title;Return cores to Crete ;;;;;;;;;;;;x,,
return_cores_CRE_desc;We hold provinces that Crete has claims on. Returning these provinces, as an act of good faith, would surely bolster our relations.;;;;;;;;;;;;x
